time (s),inlet temp (K),outlet temp (K)
0.5,773.188493872207,776.103052651832
1,773.376976346935,775.863537473457
1.5,773.565455876579,775.742701814
2,773.753879449615,775.686160105385
2.5,773.942300077565,775.668799007696
3,774.130688309584,775.677229428025
3.5,774.319047090756,775.703682864191
4,774.507311629218,775.743296575861
4.5,774.695546716833,775.793368981694
5,774.883717012585,775.850431913604
5.5,775.071798955797,775.91156437384
6,775.259786656298,775.976134889726
6.5,775.447709564937,776.046011046869
7,775.635511725104,776.118140220837
7.5,775.823249093407,776.18410826429
8,776.010833317307,776.242195271394
8.5,776.198326243582,776.293763513437
9,776.385692531215,776.339582656148
9.5,776.572905674445,776.379898640036
10,776.759992179033,776.414756659889
10.5,776.946925539218,776.444346261379
11,777.133705754999,776.468563669573
11.5,777.320300430445,776.488039489146
12,777.506768467249,776.50327553221
12.5,777.693018567787,776.514977040923
13,777.879115523921,776.523973724876
13.5,778.064997488873,776.530931975799
14,778.250690968406,776.536469993446
14.5,778.436169456756,776.540929811706
15,778.62143000884,776.54456339064
15.5,778.806475569742,776.54735277638
16,778.991300249293,776.549423043429
16.5,779.175880486814,776.550952566664
17,779.360213337223,776.552175117171
17.5,779.544295855432,776.5533503067
18,779.728104480767,776.554688660034
18.5,779.911659828818,776.556388651801
19,780.094967789756,776.558518654104
19.5,780.277969461887,776.561301469885
20,780.460691350973,776.564725953508
20.5,780.643101061082,776.568888114532
21,780.82523393323,776.57393242562
21.5,781.007057571487,776.579797467724
22,781.188539579921,776.586611404163
22.5,781.369712354462,776.594388885821
23,781.550572950027,776.603148227556
23.5,781.731065410007,776.612872745268
24,781.91124569101,776.623626148026
24.5,782.091054891342,776.635319187906
25,782.270493011005,776.647900901685
25.5,782.449589500844,776.661367632667
26,782.628285459166,776.675564766477
26.5,782.806636842579,776.690462594308
27,782.984587694476,776.705911269628
27.5,783.162135069771,776.721834001655
28,783.339281913549,776.738158171247
28.5,783.516025280725,776.754778845931
29,783.692335720452,776.771545038456
29.5,783.868239738493,776.788886766245
30,784.04371377417,776.806345719745
30.5,784.218751937314,776.823878648496
31,784.393357173009,776.841572419691
31.5,784.567500030408,776.859431026153
32,784.741207015274,776.877516218121
32.5,784.914419225913,776.895850274835
33,785.087195564019,776.914457373081
33.5,785.259447677051,776.933365991877
34,785.43126391755,776.952589193922
34.5,785.602555932975,776.972130897846
35,785.773382625019,776.991949251494
35.5,785.943682146906,777.012064220941
36,786.113457443718,777.032420213309
36.5,786.282735021218,777.053007427669
37,786.45148542856,777.073787928024
37.5,786.619711610829,777.094766645026
38,786.787378227007,777.115881408282
38.5,786.954517673026,777.137110697703
39,787.121103443125,777.158386474769
39.5,787.287126702049,777.179718863816
40,787.452596285053,777.20106932063
40.5,787.617506301966,777.222356405629
41,787.781797851095,777.243641582176
41.5,787.945529834135,777.264799006401
42,788.108675745322,777.285874113054
42.5,788.271232639573,777.306797890621
43,788.433168120954,777.327540265726
43.5,788.594517530484,777.348044666178
44,788.755216076298,777.368324503256
44.5,788.915322660091,777.388171984749
45,789.074784270338,777.40809241454
45.5,789.233621522632,777.427515407851
46,789.391810856295,777.446461697308
46.5,789.54937877709,777.464834839558
47,789.706266383322,777.482660660769
47.5,789.862506070924,777.49992837131
48,790.018062498879,777.516608537917
48.5,790.172965118034,777.532672058081
49,790.327160916865,777.548159802179
49.5,790.480702906896,777.56295798439
50,790.633535131518,777.577132974094
50.5,790.785681151408,777.590623954646
51,790.937149801821,777.603452827631
51.5,791.087873345809,777.615708855374
52,791.237884179303,777.627363590233
52.5,791.387214698234,777.638513154974
53,791.535770659894,777.649225892997
53.5,791.68361391106,777.659562944084
54,791.830744451733,777.669554064953
54.5,791.977100435133,777.679285230285
55,792.122714257193,777.688767228113
55.5,792.267582972828,777.698078529015
56,792.411677131191,777.707284517572
56.5,792.554999677366,777.716519574734
57,792.697577117116,777.725973008102
57.5,792.839350548747,777.735931232593
58,792.980346478022,777.746841520258
58.5,793.120570795109,777.759243318194
59,793.259988158992,777.774005597665
59.5,793.398601514757,777.792187202941
60,793.536407917318,777.815409193396
60.5,793.67341031176,777.845671614459
61,793.809576302152,777.885790433891
61.5,793.944938284425,777.939358792349
62,794.079493313495,778.010539008368
62.5,794.213179542582,778.103958370762
63,794.34606176355,778.22430085592
63.5,794.478078129622,778.375571011025
64,794.609255146558,778.560836475649
64.5,794.739598704528,778.78177470438
65,794.86904401167,779.038428832818
65.5,794.997649969676,779.329362626968
66,795.125390072785,779.652111422694
66.5,795.25223487015,780.003859961019
67,795.378207922449,780.381618288311
67.5,795.50331511985,780.78305493861
68,795.627524066422,781.206616447696
68.5,795.75083770725,781.651161654467
69,795.873250152165,782.116385304207
69.5,795.994793797098,782.602266247616
70,796.115380289508,783.108640652119
70.5,796.23506853109,783.637764308027
71,796.353855576758,784.182610697687
71.5,796.47171492075,784.745315887599
72,796.588646563067,785.324369800784
72.5,796.704647558624,785.918632971828
73,796.819688456573,786.526332573151
73.5,796.933831103693,787.144349303203
74,797.047010708122,787.766557774762
74.5,797.159233160028,788.383521780926
75,797.270495514327,788.985877733515
75.5,797.380827221866,789.566925590399
76,797.49016938095,790.122629037383
76.5,797.598551442427,790.649384635609
77,797.705973406298,791.14512645278
77.5,797.812402876629,791.608661817637
78,797.917872249354,792.038901674598
78.5,798.022349128539,792.430363186562
79,798.125836459271,792.777197747756
79.5,798.228334241548,793.0803320119
80,798.329836585203,793.345066084415
80.5,798.430322874641,793.577441095518
81,798.529813725455,793.779821679471
81.5,798.628312082731,793.952473549653
82,798.725791440706,794.100475027318
82.5,798.822245909211,794.231326547598
83,798.917681378415,794.347398516948
83.5,799.012121408996,794.448214970253
84,799.105512989429,794.542155183553
84.5,799.197850229544,794.652232131864
85,799.289192031037,794.779921764184
85.5,799.379485382382,794.875553757143
86,799.468724393409,794.921416724779
86.5,799.556941460051,794.940712802329
87,799.644074735529,794.963368146156
87.5,799.730183121537,795.001791029147
88,799.815240112313,795.051589619957
88.5,799.899213311924,795.110692588261
89,799.982135116303,795.183538812777
89.5,800.063999635281,795.274248505621
90,800.144812759026,795.384994201861
90.5,800.22451264076,795.513964826104
91,800.303158182177,795.661830790406
91.5,800.380749383277,795.828966795574
92,800.457227342366,796.001136220963
92.5,800.532618565207,796.166914381792
93,800.606958392816,796.334779256727
93.5,800.680182033328,796.520719356793
94,800.752295376915,796.74181431261
94.5,800.823348490015,797.005176038105
95,800.89329130619,797.30453230732
95.5,800.962117935268,797.629053637148
96,801.029860773183,797.968651267883
96.5,801.096487424002,798.323364059875
97,801.161997887726,798.700493038225
97.5,801.226424560286,799.103548018785
98,801.289708539989,799.524267178096
98.5,801.351876332596,799.948392101048
99,801.412927938107,800.364182205949
99.5,801.472863356523,800.76401349776
100,801.531685532928,801.145107542545
100.5,801.589359126307,801.509850628224
101,801.645919477674,801.867846511339
101.5,801.701363641946,802.228339368335
102,801.755632717429,802.574182482555
102.5,801.808785605816,802.886252996671
103,801.860822307108,803.156535045476
103.5,801.911683919611,803.390441446225
104,801.961429345018,803.608916756597
104.5,802.010029132483,803.831998102455
105,802.057483282006,804.062443842146
105.5,802.103791793586,804.288531116523
106,802.14895172214,804.511360365171
106.5,802.192936561904,804.719731372554
107,802.235805214573,804.895861194858
107.5,802.277498778453,805.03794315576
108,802.318043759305,805.147258461362
108.5,802.357413651369,805.224476501079
109,802.39563790549,805.272335177968
109.5,802.432713576584,805.292163693721
110,802.468614158889,805.288237537261
110.5,802.50333670732,805.272182572391
111,802.53691361781,805.257712856023
111.5,802.569312494425,805.252913722244
112,802.600565733098,805.257155389704
112.5,802.630643882981,805.265620953452
113,802.659543998991,805.279507286317
113.5,802.687266081127,805.303742968287
114,802.713842525321,805.339996890539
114.5,802.739211484794,805.393337967045
115,802.76343186124,805.465255240607
115.5,802.786477148897,805.542263444544
116,802.808314951833,805.636530304441
116.5,802.829007116827,805.751047409242
117,802.848521247947,805.862400126047
117.5,802.866857345193,805.96595455304
118,802.883988902803,806.06441312443
118.5,802.899968932302,806.162768462252
119,802.914744422164,806.263343629573
119.5,802.928374274084,806.367824304914
120,802.9407936962,806.479052555394
120.5,802.952038029525,806.598456862828
121,802.962104328977,806.723688540955
121.5,802.970966088793,806.851491521132
122,802.978676320497,806.977288825409
122.5,802.985182012566,807.088668053357
123,802.99050967076,807.172635729105
123.5,802.994659295081,807.219727387674
124,802.997633830612,807.231154301806
124.5,802.999400881422,807.21560009318
125,802.999986953275,807.180736162473
125.5,802.999400881422,807.130602581787
126,802.997633830612,807.070367184836
126.5,802.994659295081,807.005912388738
127,802.99050967076,806.943096250536
127.5,802.985182012566,806.885284443498
128,802.978676320497,806.835058764684
128.5,802.970966088793,806.791299630751
129,802.962104328977,806.752464383067
129.5,802.952038029525,806.714512564768
130,802.9407936962,806.676220116295
130.5,802.928374274084,806.639134012513
131,802.914744422164,806.602012927288
131.5,802.899968932302,806.563568020815
132,802.883988902803,806.522256380181
132.5,802.866857345193,806.476815980522
133,802.848521247947,806.425480707383
133.5,802.829007116827,806.365346728681
134,802.808314951833,806.29519332555
134.5,802.786477148897,806.218591942535
135,802.76343186124,806.147689816151
135.5,802.739211484794,806.093253163688
136,802.713842525321,806.050892843843
136.5,802.687266081127,806.019702404542
137,802.659543998991,806.001743659014
137.5,802.630643882981,806.000587332797
138,802.600565733098,806.021149841459
138.5,802.569312494425,806.052298512378
139,802.53691361781,806.084500785306
139.5,802.50333670732,806.113131954799
140,802.468614158889,806.142119528074
140.5,802.432713576584,806.18030212166
141,802.39563790549,806.227631832449
141.5,802.357413651369,806.270762306136
142,802.318043759305,806.288824571136
142.5,802.277498778453,806.265547580805
143,802.235805214573,806.211742390254
143.5,802.192936561904,806.149729746261
144,802.14895172214,806.090599614945
144.5,802.103791793586,806.032074531967
145,802.057483282006,805.972032397348
145.5,802.010029132483,805.91183820451
146,801.961429345018,805.849800792823
146.5,801.911683919611,805.782620899425
147,801.860822307108,805.705899573472
147.5,801.808785605816,805.616332459921
148,801.755632717429,805.512425864515
148.5,801.701363641946,805.395034033341
149,801.645919477674,805.265741295372
149.5,801.589359126307,805.126338543613
150,801.531685532928,804.978630501577
150.5,801.472863356523,804.825322239166
151,801.412927938107,804.666185575021
151.5,801.351876332596,804.50375064087
152,801.289708539989,804.341130137548
152.5,801.226424560286,804.182166122443
153,801.161997887726,804.029312433869
153.5,801.096487424002,803.88841908655
154,801.029860773183,803.760950572066
154.5,800.962117935268,803.645731901379
155,800.89329130619,803.540532464641
155.5,800.823348490015,803.439488486976
156,800.752295376915,803.339500441148
156.5,800.680182033328,803.239098671806
157,800.606958392816,803.135086982426
157.5,800.532618565207,803.02443333957
158,800.457227342366,802.905902448468
158.5,800.380749383277,802.782644496429
159,800.303158182177,802.665991680938
159.5,800.22451264076,802.571958976963
160,800.144812759026,802.509614481035
160.5,800.063999635281,802.481161055424
161,799.982135116303,802.490743496776
161.5,799.899213311924,802.543272447764
162,799.815240112313,802.633849495589
162.5,799.730183121537,802.747660514246
163,799.644074735529,802.875233415876
163.5,799.556941460051,803.013900850912
164,799.468724393409,803.162522810002
164.5,799.379485382382,803.327611997284
165,799.289192031037,803.517972346129
165.5,799.197850229544,803.727746852993
166,799.105512989429,803.936195966103
166.5,799.012121408996,804.113191491157
167,798.917681378415,804.243979216152
167.5,798.822245909211,804.33364349661
168,798.725791440706,804.392234589356
168.5,798.628312082731,804.429952797063
169,798.529813725455,804.461783330441
169.5,798.430322874641,804.506710337948
170,798.329836585203,804.571606096834
170.5,798.228334241548,804.640589689322
171,798.125836459271,804.691882728784
171.5,798.022349128539,804.708371620277
172,797.917872249354,804.680475071094
172.5,797.812402876629,804.6072442088
173,797.705973406298,804.498157616786
173.5,797.598551442427,804.366586873754
174,797.49016938095,804.224135727383
174.5,797.380827221866,804.077609224265
175,797.270495514327,803.929833534198
175.5,797.159233160028,803.781196680815
176,797.047010708122,803.630431635636
176.5,796.933831103693,803.473881428859
177,796.819688456573,803.313785285499
177.5,796.704647558624,803.158456965685
178,796.588646563067,803.01775389949
178.5,796.47171492075,802.883159199844
179,796.353855576758,802.739032672288
